id,city,temperature,humidity,weather,hotel,website,score,description,lat,lon
0,Mont Saint Michel,12,96,Clouds,Hôtel Vert,https://www.booking.com/hotel/fr/vert.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvGX0LAGwAIB0gIkMzJhZGM0ZjAtMWU0MC00YTEzLTg5OGQtZDc0M2Q3MzEyNGU32AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class_asc&nflt=review_score%3D80&srpvid=f2536e5d861e02ac&srepoch=1713368507&from_sustainable_property_sr=1&from=searchresults,2 sur 5,"L’Hotel Vert vous propose des chambres décorées dans des tons pastel, dotées d’une salle de bains privative, d’une télévision ainsi que d’une connexion Wi-Fi gratuite. ",48.61470049,-1.50961697
1,Mont Saint Michel,12,96,Clouds,La Greve Saint Michel,https://www.booking.com/hotel/fr/la-greve-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvGX0LAGwAIB0gIkMzJhZGM0ZjAtMWU0MC00YTEzLTg5OGQtZDc0M2Q3MzEyNGU32AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=class_asc&nflt=review_score%3D80&srpvid=f2536e5d861e02ac&srepoch=1713368507&from=searchresults,3 sur 5,Hébergement géré par un particulier,48.59775819,-1.51228422
2,Mont Saint Michel,12,96,Clouds,Maison au pied du Mont Saint Michel 2,https://www.booking.com/hotel/fr/maison-au-pied-du-mont-saint-michel-2.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvGX0LAGwAIB0gIkMzJhZGM0ZjAtMWU0MC00YTEzLTg5OGQtZDc0M2Q3MzEyNGU32AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=class_asc&nflt=review_score%3D80&srpvid=f2536e5d861e02ac&srepoch=1713368507&from=searchresults,3 sur 5,Hébergement géré par un particulier,48.61561170,-1.48851210
3,Mont Saint Michel,12,96,Clouds,Gîte Caribou,https://www.booking.com/hotel/fr/gite-caribou.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvGX0LAGwAIB0gIkMzJhZGM0ZjAtMWU0MC00YTEzLTg5OGQtZDc0M2Q3MzEyNGU32AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=class_asc&nflt=review_score%3D80&srpvid=f2536e5d861e02ac&srepoch=1713368507&from=searchresults,3 sur 5,Hébergement géré par un particulier,48.62259438,-1.39050267
4,Mont Saint Michel,12,96,Clouds,Les Hortensias,https://www.booking.com/hotel/fr/les-hortensias-saint-marcan.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvGX0LAGwAIB0gIkMzJhZGM0ZjAtMWU0MC00YTEzLTg5OGQtZDc0M2Q3MzEyNGU32AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=class_asc&nflt=review_score%3D80&srpvid=f2536e5d861e02ac&srepoch=1713368507&from_sustainable_property_sr=1&from=searchresults,3 sur 5,Hébergement géré par un particulier,48.59456300,-1.61772500
5,Mont Saint Michel,12,96,Clouds,Le Domaine de Belleville,https://www.booking.com/hotel/fr/le-domaine-de-belleville.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvGX0LAGwAIB0gIkMzJhZGM0ZjAtMWU0MC00YTEzLTg5OGQtZDc0M2Q3MzEyNGU32AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=class_asc&nflt=review_score%3D80&srpvid=f2536e5d861e02ac&srepoch=1713368507&from_sustainable_property_sr=1&from=searchresults,3 sur 5,"Situé à Dragey-Ronthon, l'établissement Le Domaine de Belleville se trouve à 3 km de Genêts et à 2 km de la côte. ",48.71457262,-1.48525447
6,Mont Saint Michel,12,96,Clouds,Domaine du Manoir de Vains,https://www.booking.com/hotel/fr/manoir-de-vains.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvGX0LAGwAIB0gIkMzJhZGM0ZjAtMWU0MC00YTEzLTg5OGQtZDc0M2Q3MzEyNGU32AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=class_asc&nflt=review_score%3D80&srpvid=f2536e5d861e02ac&srepoch=1713368507&from=searchresults,3 sur 5,"Doté d'un jardin et offrant une vue sur le jardin, le Domaine du Manoir de Vains est une maison de vacances située dans un bâtiment historique à Vains, à 5,2 km du Scriptorial d'Avranches, musee des...",48.68097800,-1.40292600
7,Mont Saint Michel,12,96,Clouds,Le Marquis De La Guintre,https://www.booking.com/hotel/fr/le-marquis-de-la-guintre.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvGX0LAGwAIB0gIkMzJhZGM0ZjAtMWU0MC00YTEzLTg5OGQtZDc0M2Q3MzEyNGU32AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=class_asc&nflt=review_score%3D80&srpvid=f2536e5d861e02ac&srepoch=1713368507&from=searchresults,3 sur 5,"Doté d'un bar et offrant une vue sur la cour intérieure, Le Marquis De La Guintre est un Bed & Breakfast situé dans un bâtiment historique à Courtils, à 12 km de l'abbaye du Mont-Saint-Michel. ",48.62486471,-1.44534186
8,Mont Saint Michel,12,96,Clouds,maison proche du Mont Saint Michel,https://www.booking.com/hotel/fr/maison-proche-du-mont-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvGX0LAGwAIB0gIkMzJhZGM0ZjAtMWU0MC00YTEzLTg5OGQtZDc0M2Q3MzEyNGU32AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=class_asc&nflt=review_score%3D80&srpvid=f2536e5d861e02ac&srepoch=1713368507&from=searchresults,2 sur 5,Hébergement géré par un particulier,48.55120060,-1.50233400
9,Mont Saint Michel,12,96,Clouds,A L'Ombre du Mont St Michel,https://www.booking.com/hotel/fr/a-l-ombre-du-mont-st-michel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvGX0LAGwAIB0gIkMzJhZGM0ZjAtMWU0MC00YTEzLTg5OGQtZDc0M2Q3MzEyNGU32AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=class_asc&nflt=review_score%3D80&srpvid=f2536e5d861e02ac&srepoch=1713368507&from_sustainable_property_sr=1&from=searchresults,3 sur 5,Hébergement géré par un particulier,48.61591354,-1.46560172
